title,rating,detail,level
The Data Science Course 2020: Complete Data Science Bootcamp,4.5,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning | By 365 Careers",All Levels
Machine Learning A-Z™: Hands-On Python & R In Data Science,4.5,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included. | By Kirill Eremenko,All Levels
Python for Data Science and Machine Learning Bootcamp,4.6,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more! | By Jose Portilla",All Levels
Deep Learning A-Z™: Hands-On Artificial Neural Networks,4.5,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included. | By Kirill Eremenko,All Levels
Complete Machine Learning and Data Science: Zero to Mastery,4.6,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more! | By Andrei Neagoie",All Levels
R Programming A-Z™: R For Data Science With Real Exercises!,4.6,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2 | By Kirill Eremenko",All Levels
Artificial Intelligence A-Z™: Learn How To Build An AI,4.3,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications! | By Hadelin de Ponteves",All Levels
"Machine Learning, Data Science and Deep Learning with Python",4.5,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks | By Sundog Education by Frank Kane",Beginner
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,4.7,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras! | By Jose Portilla,All Levels
Statistics for Data Science and Business Analysis,4.5,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis | By 365 Careers",All Levels
Data Science A-Z™: Real-Life Data Science Exercises Included,4.6,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more! | By Kirill Eremenko",All Levels
Tensorflow 2.0: Deep Learning and Artificial Intelligence,4.7,"Neural Networks for Computer Vision, Time Series Forecasting, NLP, GANs, Reinforcement Learning, and More! | By Lazy Programmer Inc.",All Levels
Complete 2020 Data Science & Machine Learning Bootcamp,4.5,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more! | By Philipp Muellauer",All Levels
Python A-Z™: Python For Data Science With Real Exercises!,4.6,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization | By Kirill Eremenko",All Levels
NLP - Natural Language Processing with Python,4.5,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing | By Jose Portilla",Intermediate
Apache Spark with Scala - Hands On with Big Data!,4.5,"Dive right in with 20+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop! | By Sundog Education by Frank Kane",All Levels
Data Science and Machine Learning Bootcamp with R,4.6,Learn how to use the R programming language for data science and machine learning and data visualization! | By Jose Portilla,All Levels
R Programming: Advanced Analytics In R For Data Science,4.6,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2 | By Kirill Eremenko",Intermediate
