title,rating,level,link,detail
The Data Science Course 2020: Complete Data Science Bootcamp,4.5,All Levels,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning | By 365 Careers"
Machine Learning A-Z™: Hands-On Python & R In Data Science,4.5,All Levels,https://www.udemy.com/course/machinelearning/,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included. | By Kirill Eremenko
Python for Data Science and Machine Learning Bootcamp,4.6,All Levels,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more! | By Jose Portilla"
Deep Learning A-Z™: Hands-On Artificial Neural Networks,4.5,All Levels,https://www.udemy.com/course/deeplearning/,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included. | By Kirill Eremenko
Complete Machine Learning and Data Science: Zero to Mastery,4.6,All Levels,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more! | By Andrei Neagoie"
R Programming A-Z™: R For Data Science With Real Exercises!,4.6,All Levels,https://www.udemy.com/course/r-programming/,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2 | By Kirill Eremenko"
Artificial Intelligence A-Z™: Learn How To Build An AI,4.3,All Levels,https://www.udemy.com/course/artificial-intelligence-az/,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications! | By Hadelin de Ponteves"
"Machine Learning, Data Science and Deep Learning with Python",4.5,Beginner,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks | By Sundog Education by Frank Kane"
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,4.7,All Levels,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras! | By Jose Portilla
Statistics for Data Science and Business Analysis,4.5,All Levels,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis | By 365 Careers"
Data Science A-Z™: Real-Life Data Science Exercises Included,4.6,All Levels,https://www.udemy.com/course/datascience/,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more! | By Kirill Eremenko"
Tensorflow 2.0: Deep Learning and Artificial Intelligence,4.7,All Levels,https://www.udemy.com/course/deep-learning-tensorflow-2/,"Neural Networks for Computer Vision, Time Series Forecasting, NLP, GANs, Reinforcement Learning, and More! | By Lazy Programmer Inc."
Complete 2020 Data Science & Machine Learning Bootcamp,4.5,All Levels,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more! | By Philipp Muellauer"
Python A-Z™: Python For Data Science With Real Exercises!,4.6,All Levels,https://www.udemy.com/course/python-coding/,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization | By Kirill Eremenko"
NLP - Natural Language Processing with Python,4.5,Intermediate,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing | By Jose Portilla"
Apache Spark with Scala - Hands On with Big Data!,4.5,All Levels,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"Dive right in with 20+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop! | By Sundog Education by Frank Kane"
Data Science and Machine Learning Bootcamp with R,4.6,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Learn how to use the R programming language for data science and machine learning and data visualization! | By Jose Portilla
R Programming: Advanced Analytics In R For Data Science,4.6,Intermediate,https://www.udemy.com/course/r-analytics/,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2 | By Kirill Eremenko"
Complete Guide to TensorFlow for Deep Learning with Python,4.4,Intermediate,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques! | By Jose Portilla
Learn BERT - most powerful NLP algorithm by Google,4.1,All Levels,https://www.udemy.com/course/bert-nlp-algorithm/,Understand and apply Google's game-changing NLP algorithm to real-world tasks. Build 2 NLP applications. | By Martin Jocqueviel
Interactive Python Dashboards with Plotly and Dash,4.6,Intermediate,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library! | By Jose Portilla"
